iter	Passed	Remaining
1569	23098	9268
1570	23113	9254
1571	23128	9239
1572	23141	9224
1573	23155	9209
1574	23170	9194
1575	23185	9180
1576	23199	9164
1577	23215	9150
1578	23231	9136
1579	23246	9121
1580	23259	9106
1581	23275	9092
1582	23292	9078
1583	23308	9064
1584	23321	9049
1585	23339	9035
1586	23355	9021
1587	23369	9006
1588	23381	8990
1589	23399	8977
1590	23414	8962
1591	23429	8947
1592	23444	8933
1593	23459	8918
1594	23473	8903
1595	23488	8889
1596	23501	8873
1597	23516	8859
1598	23534	8845
1599	23546	8829
1600	23562	8815
1601	23581	8802
1602	23595	8787
1603	23612	8773
1604	23628	8759
1605	23643	8744
1606	23657	8729
1607	23671	8714
1608	23686	8700
1609	23701	8685
1610	23716	8670
1611	23729	8655
1612	23743	8640
1613	23756	8625
1614	23772	8611
1615	23785	8595
1616	23799	8580
1617	23816	8566
1618	23832	8552
1619	23844	8536
1620	23860	8522
1621	23874	8507
1622	23886	8492
1623	23901	8477
1624	23917	8463
1625	23932	8448
1626	23945	8433
1627	23961	8419
1628	23979	8405
1629	23994	8390
1630	24008	8375
1631	24024	8361
1632	24040	8347
1633	24055	8332
1634	24069	8317
1635	24086	8303
1636	24102	8289
1637	24116	8274
1638	24128	8258
1639	24146	8244
1640	24163	8231
1641	24176	8215
1642	24190	8201
1643	24209	8187
1644	24224	8172
1645	24239	8158
1646	24256	8144
1647	24274	8130
1648	24292	8117
1649	24308	8102
1650	24322	8087
1651	24338	8073
1652	24350	8058
1653	24367	8043
1654	24381	8028
1655	24399	8015
1656	24415	8000
1657	24431	7986
1658	24447	7972
1659	24461	7957
1660	24474	7942
1661	24487	7926
1662	24504	7912
1663	24517	7897
